DATAFLOW;FREQ;TIME_PERIOD;REF_AREA;INDICATOR;ACTIVITY;NUMBER_EMPL;PRODUCT;TURNOVER;CLIENT_RESIDENCE;OBS_VALUE;UNIT_MEASURE;UNIT_MULT;DECIMALS;OBS_STATUS;OBS_STATUS_1;CONF_STATUS;CONF_STATUS_1;DOMINANCE;SHARE_SECOND;COMMENT_OBS
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;E38;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;E381;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;E382;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;E383;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;E39;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;E390;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;F;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;F41;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;F411;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;F412;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;F42;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;F421;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;F422;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;F429;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;F43;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;F431;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;F432;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;F433;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;F439;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;G;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;G45;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;G451;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;G452;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;G453;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;G454;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;G46;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;G461;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;G462;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;G463;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;G464;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;G465;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;G466;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;G467;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;G469;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;G47;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;G471;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;G472;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;G473;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;G474;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;G475;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;G476;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;G477;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;G478;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;G479;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;H;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;H49;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;H491;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;H492;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;H493;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;H494;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;H495;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;H50;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;H501;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;H502;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;H503;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;H504;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
ESTAT:EBSSBS_PRL_A(1.0);A;;;ENT;H51;_T;_Z;_Z;_Z;;PN;0;0;P;;;;;;
